frame, face_id, timestamp, confidence, success, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
65, 0, 7.702, 0.82, 1, 25.5, -100.3, 993.5, 0.391, 0.717, -0.282
66, 0, 7.822, 0.77, 1, 26.7, -103.4, 992.8, 0.379, 0.718, -0.291
67, 0, 7.942, 0.88, 1, 21.9, -108.5, 1006.2, 0.401, 0.674, -0.335
68, 0, 8.063, 0.88, 1, 17.9, -111.8, 1009.7, 0.441, 0.689, -0.372
69, 0, 8.183, 0.77, 1, 14.0, -112.6, 1007.4, 0.478, 0.669, -0.384
70, 0, 8.303, 0.77, 1, -3.2, -120.4, 1000.2, 0.409, 0.578, -0.237
71, 0, 8.424, 0.77, 1, -5.7, -121.5, 984.1, 0.442, 0.656, -0.286
72, 0, 8.544, 0.77, 1, -11.0, -119.6, 990.2, 0.482, 0.636, -0.316
73, 0, 8.664, 0.77, 1, -15.7, -116.7, 995.9, 0.530, 0.640, -0.357
74, 0, 8.785, 0.77, 1, -19.3, -113.6, 991.3, 0.528, 0.651, -0.361
75, 0, 8.905, 0.77, 1, -22.0, -110.8, 989.3, 0.535, 0.656, -0.360
76, 0, 9.025, 0.77, 1, -24.0, -108.4, 982.7, 0.531, 0.672, -0.350
77, 0, 9.146, 0.93, 1, -25.6, -105.6, 976.0, 0.504, 0.669, -0.323
78, 0, 9.266, 0.77, 1, -26.7, -104.8, 971.8, 0.477, 0.680, -0.309
79, 0, 9.386, 0.77, 1, -27.3, -102.7, 955.4, 0.436, 0.675, -0.278
80, 0, 9.507, 0.98, 1, -29.1, -104.2, 953.8, 0.448, 0.670, -0.279
81, 0, 9.627, 0.88, 1, -30.7, -103.8, 954.4, 0.439, 0.657, -0.275
82, 0, 9.747, 0.88, 1, -29.9, -100.6, 954.5, 0.459, 0.672, -0.312
83, 0, 9.868, 0.88, 1, -32.3, -98.5, 954.8, 0.471, 0.658, -0.331
84, 0, 9.988, 0.88, 1, -35.3, -95.3, 952.6, 0.486, 0.650, -0.357
85, 0, 10.108, 0.88, 1, -36.1, -94.5, 949.3, 0.460, 0.646, -0.344
86, 0, 10.229, 0.82, 1, -31.7, -97.2, 927.3, 0.422, 0.673, -0.340
87, 0, 10.349, 0.77, 1, -16.3, -125.6, 931.9, 0.245, 0.687, -0.107
88, 0, 10.469, 0.98, 1, -12.8, -127.4, 911.6, 0.213, 0.709, -0.103
89, 0, 10.590, 0.98, 1, -2.2, -155.2, 961.9, 0.133, 0.713, 0.068
90, 0, 10.710, 0.98, 1, 16.6, -169.8, 987.6, 0.082, 0.702, 0.134
91, 0, 10.830, 0.08, 0, 17.8, -167.9, 978.2, 0.044, 0.691, 0.152
92, 0, 10.951, 0.03, 0, 17.2, -163.9, 961.4, 0.023, 0.717, 0.147
93, 0, 11.071, 0.52, 0, 16.0, -161.3, 946.4, -0.004, 0.683, 0.141
94, 0, 11.191, 0.03, 0, 14.5, -156.3, 921.4, -0.022, 0.721, 0.168
95, 0, 11.312, 0.98, 1, 69.1, -196.2, 1058.8, -0.040, 0.134, 0.071
96, 0, 11.432, 0.98, 1, 41.8, -207.2, 1085.3, -0.078, 0.065, -0.023
97, 0, 11.552, 0.98, 1, 23.5, -219.2, 1119.3, -0.137, -0.034, -0.079
98, 0, 11.673, 0.93, 1, 14.4, -217.6, 1110.2, -0.127, -0.045, -0.076
99, 0, 11.793, 0.88, 1, 10.2, -213.2, 1098.3, -0.031, -0.066, -0.049
100, 0, 11.913, 0.88, 1, 8.6, -210.9, 1080.0, -0.053, -0.128, -0.040
101, 0, 12.034, 0.03, 0, 12.2, -217.8, 1094.2, -0.185, -0.288, -0.067
102, 0, 12.154, 0.43, 0, 24.2, -221.0, 1066.2, -0.390, -0.209, -0.073
103, 0, 12.274, 0.38, 0, 31.8, -235.0, 1145.3, -0.247, -0.185, -0.140
104, 0, 12.395, 0.47, 0, 35.1, -233.5, 1151.2, -0.295, -0.093, -0.168
105, 0, 12.515, 0.82, 1, 43.3, -218.6, 1134.7, -0.012, -0.102, -0.078
106, 0, 12.635, 0.98, 1, 12.4, -217.6, 1103.9, -0.127, -0.110, -0.035
107, 0, 12.756, 0.98, 1, -15.2, -216.3, 1095.0, -0.127, -0.058, -0.064
108, 0, 12.876, 0.88, 1, -24.2, -212.6, 1084.4, -0.087, -0.061, -0.070
109, 0, 12.996, 0.98, 1, -26.2, -215.1, 1076.1, -0.158, 0.008, -0.018
110, 0, 13.117, 0.98, 1, -0.5, -216.3, 1091.7, -0.141, -0.038, 0.058
111, 0, 13.237, 0.88, 1, 8.2, -212.1, 1093.5, -0.087, -0.065, 0.044
112, 0, 13.357, 0.88, 1, 17.8, -203.4, 1083.1, -0.007, -0.105, 0.035
113, 0, 13.478, 0.98, 1, 18.9, -197.5, 1096.9, 0.094, -0.074, 0.033
114, 0, 13.598, 0.88, 1, 16.2, -189.2, 1101.1, 0.096, -0.018, -0.005
115, 0, 13.718, 0.98, 1, 12.3, -152.7, 1053.6, 0.283, 0.284, -0.124
116, 0, 13.839, 0.88, 1, 10.3, -125.2, 1029.2, 0.288, 0.509, -0.172
117, 0, 13.959, 0.93, 1, 20.6, -97.7, 998.7, 0.371, 0.536, -0.251
118, 0, 14.079, 0.98, 1, 24.6, -91.1, 999.6, 0.404, 0.531, -0.268
119, 0, 14.200, 0.88, 1, 30.5, -85.5, 996.1, 0.436, 0.471, -0.238
120, 0, 14.320, 0.88, 1, 36.2, -81.8, 1016.0, 0.502, 0.436, -0.255
121, 0, 14.440, 0.88, 1, 55.4, -103.0, 1014.7, 0.227, 0.516, -0.213
122, 0, 14.561, 0.98, 1, 75.6, -144.9, 1043.0, 0.208, 0.359, -0.132
123, 0, 14.681, 0.98, 1, 87.5, -162.2, 1045.8, 0.165, 0.323, -0.091
124, 0, 14.801, 0.88, 1, 88.5, -166.5, 1019.0, 0.102, 0.301, -0.046
125, 0, 14.922, 0.93, 1, 93.3, -174.9, 1023.8, 0.034, 0.243, -0.003
126, 0, 15.042, 0.98, 1, 98.0, -179.0, 1033.2, 0.014, 0.180, -0.033
127, 0, 15.162, 0.98, 1, 95.6, -171.9, 1043.2, 0.089, 0.156, -0.090
128, 0, 15.283, 0.93, 1, 89.2, -162.3, 1048.1, 0.150, 0.151, -0.124
129, 0, 15.403, 0.88, 1, 79.4, -153.0, 1031.7, 0.219, 0.179, -0.165
130, 0, 15.523, 0.88, 1, 73.0, -145.0, 1035.6, 0.294, 0.254, -0.210
131, 0, 15.644, 0.98, 1, 73.3, -149.4, 1023.8, 0.228, 0.220, -0.134
132, 0, 15.764, 0.98, 1, 79.8, -160.8, 1058.0, 0.136, 0.077, -0.156
133, 0, 15.884, 0.98, 1, 82.8, -166.1, 1090.4, 0.109, 0.068, -0.189
134, 0, 16.005, 0.98, 1, 74.8, -158.8, 1079.3, 0.125, 0.095, -0.173
135, 0, 16.125, 0.98, 1, 69.9, -154.2, 1067.8, 0.100, 0.102, -0.164
136, 0, 16.245, 0.98, 1, 68.1, -163.1, 1075.3, 0.061, 0.122, -0.136
137, 0, 16.366, 0.98, 1, 62.4, -168.6, 1063.6, 0.050, 0.109, -0.120
138, 0, 16.486, 0.98, 1, 56.8, -170.0, 1046.0, 0.063, 0.083, -0.119
139, 0, 16.606, 0.98, 1, 53.9, -176.5, 1050.0, 0.040, 0.057, -0.110
140, 0, 16.727, 0.98, 1, 56.0, -184.8, 1072.0, 0.029, 0.043, -0.112
141, 0, 16.847, 0.98, 1, 56.0, -183.0, 1068.3, 0.064, -0.003, -0.111
142, 0, 16.968, 0.98, 1, 48.3, -180.0, 1057.7, 0.066, -0.014, -0.108
143, 0, 17.088, 0.98, 1, 41.1, -179.4, 1079.7, 0.096, 0.019, -0.118
144, 0, 17.208, 0.93, 1, 36.4, -169.7, 1093.3, 0.228, 0.103, -0.129
145, 0, 17.329, 0.98, 1, 32.9, -159.3, 1091.0, 0.350, 0.177, -0.154
146, 0, 17.449, 0.98, 1, 38.0, -147.2, 1080.7, 0.459, 0.182, -0.168
147, 0, 17.569, 0.98, 1, 42.5, -126.6, 1070.4, 0.414, 0.243, -0.190
148, 0, 17.690, 0.98, 1, 49.9, -107.8, 1068.6, 0.419, 0.283, -0.213
149, 0, 17.810, 0.88, 1, 61.1, -107.4, 1067.8, 0.452, 0.267, -0.216
150, 0, 17.930, 0.98, 1, 65.6, -135.4, 1068.8, 0.366, 0.294, -0.178
