frame, face_id, timestamp, confidence, success, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
65, 0, 6.400, 0.98, 1, 3.6, -213.4, 1055.6, 0.154, -0.155, -0.107
66, 0, 6.500, 0.98, 1, -2.4, -204.9, 1041.0, 0.222, -0.197, -0.121
67, 0, 6.600, 0.98, 1, -7.8, -194.0, 1032.7, 0.269, -0.216, -0.146
68, 0, 6.700, 0.98, 1, -8.7, -192.1, 1044.7, 0.274, -0.218, -0.146
69, 0, 6.800, 0.88, 1, -9.6, -203.9, 1049.8, 0.201, -0.201, -0.147
70, 0, 6.900, 0.98, 1, -10.2, -216.6, 1062.5, 0.090, -0.141, -0.129
71, 0, 7.000, 0.98, 1, -9.9, -216.5, 1081.5, 0.193, -0.147, -0.060
72, 0, 7.100, 0.98, 1, -4.8, -207.6, 1074.3, 0.270, -0.186, -0.046
73, 0, 7.200, 0.98, 1, 4.1, -195.8, 1054.6, 0.333, -0.214, -0.067
74, 0, 7.300, 0.98, 1, 9.7, -189.4, 1049.5, 0.367, -0.226, -0.084
75, 0, 7.400, 0.98, 1, 16.2, -185.6, 1046.6, 0.379, -0.248, -0.096
76, 0, 7.500, 0.98, 1, 17.1, -194.2, 1049.1, 0.318, -0.237, -0.108
77, 0, 7.600, 0.98, 1, 13.8, -215.5, 1065.7, 0.172, -0.213, -0.071
78, 0, 7.700, 0.98, 1, 11.8, -225.8, 1084.5, 0.081, -0.157, -0.075
79, 0, 7.800, 0.98, 1, 8.5, -232.0, 1097.6, -0.004, -0.064, -0.053
80, 0, 7.900, 0.98, 1, 7.2, -232.0, 1092.8, -0.016, -0.030, -0.027
81, 0, 8.000, 0.98, 1, 8.5, -228.6, 1077.6, -0.035, 0.004, -0.015
82, 0, 8.100, 0.98, 1, 10.1, -230.7, 1082.0, -0.068, 0.009, -0.012
83, 0, 8.200, 0.98, 1, 9.3, -231.9, 1085.3, -0.041, 0.042, -0.010
84, 0, 8.300, 0.98, 1, 8.7, -231.8, 1092.4, -0.006, 0.056, -0.005
85, 0, 8.400, 0.98, 1, 9.0, -225.3, 1089.7, 0.078, 0.062, -0.002
86, 0, 8.500, 0.98, 1, 9.2, -220.8, 1084.9, 0.122, 0.072, 0.006
87, 0, 8.600, 0.98, 1, 12.7, -214.7, 1078.7, 0.170, 0.078, 0.016
88, 0, 8.700, 0.98, 1, 15.8, -212.0, 1075.4, 0.174, 0.082, 0.029
89, 0, 8.800, 0.98, 1, 19.7, -207.9, 1069.5, 0.199, 0.085, 0.034
90, 0, 8.900, 0.98, 1, 23.1, -205.1, 1068.6, 0.222, 0.087, 0.035
91, 0, 9.000, 0.98, 1, 29.9, -199.4, 1069.7, 0.271, 0.086, 0.044
92, 0, 9.100, 0.98, 1, 36.7, -194.1, 1077.6, 0.324, 0.107, 0.048
93, 0, 9.200, 0.88, 1, 47.7, -192.6, 1121.6, 0.445, 0.108, 0.060
94, 0, 9.300, 0.88, 1, 57.3, -192.5, 1162.3, 0.547, 0.056, 0.082
95, 0, 9.400, 0.77, 1, 66.7, -197.6, 1232.6, 0.680, 0.003, 0.108
96, 0, 9.500, 0.77, 1, 74.4, -203.5, 1276.3, 0.702, -0.051, 0.153
97, 0, 9.600, 0.82, 1, 79.1, -209.2, 1288.1, 0.600, -0.068, 0.186
98, 0, 9.700, 0.93, 1, 78.2, -183.8, 1050.5, 0.250, 0.113, -0.022
99, 0, 9.800, 0.98, 1, 67.9, -207.9, 1056.7, 0.107, 0.099, -0.056
100, 0, 9.900, 0.93, 1, 58.7, -215.4, 1049.5, 0.065, 0.054, -0.085
101, 0, 10.000, 0.82, 1, 48.5, -212.1, 1008.7, 0.033, -0.042, -0.142
102, 0, 10.100, 0.98, 1, 39.8, -215.8, 1010.4, -0.074, -0.059, -0.175
103, 0, 10.200, 0.93, 1, 32.0, -224.6, 1053.4, -0.051, -0.080, -0.202
104, 0, 10.300, 0.93, 1, 25.1, -227.4, 1067.0, -0.009, -0.039, -0.184
105, 0, 10.400, 0.98, 1, 17.9, -223.1, 1070.0, 0.054, -0.021, -0.165
106, 0, 10.500, 0.98, 1, 14.4, -218.6, 1068.8, 0.089, -0.054, -0.150
107, 0, 10.600, 0.98, 1, 9.2, -212.0, 1061.8, 0.163, -0.115, -0.149
108, 0, 10.700, 0.98, 1, 4.4, -206.4, 1059.4, 0.227, -0.164, -0.146
109, 0, 10.800, 0.98, 1, 0.6, -198.6, 1050.2, 0.305, -0.219, -0.179
110, 0, 10.900, 0.98, 1, -4.8, -193.2, 1043.9, 0.310, -0.247, -0.195
111, 0, 11.000, 0.98, 1, -10.7, -197.3, 1049.7, 0.237, -0.242, -0.209
112, 0, 11.100, 0.98, 1, -11.7, -206.7, 1048.6, 0.158, -0.235, -0.217
113, 0, 11.200, 0.98, 1, -8.9, -217.3, 1049.7, 0.071, -0.212, -0.225
114, 0, 11.300, 0.98, 1, -4.2, -227.0, 1055.4, -0.006, -0.194, -0.230
115, 0, 11.400, 0.98, 1, 4.7, -230.1, 1060.4, -0.010, -0.191, -0.234
116, 0, 11.500, 0.98, 1, 12.7, -226.2, 1056.7, 0.021, -0.190, -0.235
117, 0, 11.600, 0.98, 1, 23.6, -220.0, 1053.1, 0.080, -0.171, -0.219
118, 0, 11.700, 0.98, 1, 26.9, -222.3, 1076.9, 0.066, -0.115, -0.217
119, 0, 11.800, 0.98, 1, 24.2, -224.1, 1070.7, 0.000, -0.058, -0.217
120, 0, 11.900, 0.98, 1, 19.1, -224.8, 1065.2, -0.012, -0.039, -0.240
121, 0, 12.000, 0.98, 1, 15.1, -222.5, 1064.7, 0.033, -0.049, -0.274
122, 0, 12.100, 0.98, 1, 18.0, -217.7, 1063.4, 0.081, -0.072, -0.298
123, 0, 12.200, 0.98, 1, 25.0, -210.8, 1059.3, 0.150, -0.101, -0.305
124, 0, 12.300, 0.98, 1, 27.5, -207.1, 1054.5, 0.157, -0.117, -0.306
125, 0, 12.400, 0.98, 1, 25.3, -206.5, 1051.9, 0.156, -0.118, -0.283
126, 0, 12.500, 0.98, 1, 22.8, -208.8, 1052.6, 0.146, -0.118, -0.263
127, 0, 12.600, 0.98, 1, 19.3, -214.2, 1056.0, 0.110, -0.103, -0.231
128, 0, 12.700, 0.98, 1, 17.3, -219.7, 1064.2, 0.072, -0.096, -0.203
129, 0, 12.800, 0.98, 1, 13.7, -225.7, 1071.8, 0.014, -0.084, -0.156
130, 0, 12.900, 0.98, 1, 10.0, -226.2, 1065.6, -0.007, -0.078, -0.120
131, 0, 13.000, 0.98, 1, 5.5, -227.7, 1064.8, -0.013, -0.057, -0.078
132, 0, 13.100, 0.98, 1, 2.8, -226.6, 1061.7, -0.002, -0.057, -0.053
133, 0, 13.200, 0.98, 1, -0.6, -225.9, 1061.2, 0.007, -0.055, -0.038
134, 0, 13.300, 0.98, 1, -2.6, -225.2, 1059.4, 0.009, -0.059, -0.033
135, 0, 13.400, 0.98, 1, -3.2, -224.4, 1058.5, 0.014, -0.073, -0.033
136, 0, 13.500, 0.98, 1, -2.9, -223.7, 1058.2, 0.023, -0.079, -0.037
137, 0, 13.600, 0.98, 1, -2.6, -223.0, 1058.1, 0.029, -0.079, -0.039
138, 0, 13.700, 0.98, 1, -2.4, -222.8, 1058.0, 0.033, -0.083, -0.039
139, 0, 13.800, 0.98, 1, -2.3, -221.7, 1057.1, 0.044, -0.087, -0.037
140, 0, 13.900, 0.98, 1, -2.1, -221.1, 1056.6, 0.043, -0.092, -0.035
